species,scientificName,verbatimScientificName,decimalLatitude,decimalLongitude,day,month,year
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.869499,1.192965,8,10,1995
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.510468,1.166857,,,2010
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,21,11,1978
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,30,10,1980
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.517983,0.872556,18,8,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.693861,1.032106,,,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.873398,1.044622,25,12,1976
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.600228,1.173332,,,1938
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.766979,1.630285,8,10,1994
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.681688,1.475207,4,4,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.685929,1.327543,20,8,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.697551,0.884338,11,11,1995
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.775673,1.334389,28,10,1995
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.359629,-2.956472,1,10,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.158423,-3.337879,22,9,1984
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.235005,-2.792041,23,9,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.140459,-3.337255,1,9,1985
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.323942,-2.923239,22,9,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.322344,-3.117232,13,9,2004
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.734221,-4.477021,,,1985
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.795979,-4.974272,,,1977
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,57.570792,-4.178451,5,9,2021
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,54.155656,-0.661528,5,9,2021
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.677865,-0.543398,16,4,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.567647,-1.396254,9,3,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.359969,-1.325304,29,5,2011
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.359969,-1.325304,,,1964
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.449848,-1.323881,11,12,2011
