"","species","lat","lon","month","year"
"373","Calvatia gigantea",51.376116,-0.636472,10,2001
"374","Calvatia gigantea",53.990445,-1.620196,9,2001
"375","Calvatia gigantea",52.193038,-1.781981,10,1997
"376","Calvatia gigantea",52.462741,-1.780653,9,1998
"377","Calvatia gigantea",51.830915,-1.203266,4,1992
"378","Calvatia gigantea",53.541043,-2.378714,8,1984
"379","Calvatia gigantea",52.998361,-2.96995,9,1985
"380","Calvatia gigantea",51.022618,-1.359776,9,2005
"381","Calvatia gigantea",50.664648,-2.072108,9,1972
"382","Calvatia gigantea",53.359025,-1.175062,7,1991
"383","Calvatia gigantea",54.781933,-5.747009,10,1985
"384","Calvatia gigantea",52.822508,-2.07564,9,1970
"385","Calvatia gigantea",51.830915,-1.203266,9,1984
"386","Calvatia gigantea",52.9096,-2.819267,11,1995
"387","Calvatia gigantea",54.527306,-1.151691,9,1992
"388","Calvatia gigantea",51.204017,-1.786677,9,1990
"389","Calvatia gigantea",51.282542,-0.352462,10,1995
"390","Calvatia gigantea",53.09163,-1.628151,9,1986
"391","Calvatia gigantea",51.56368,-1.785,10,2000
"392","Calvatia gigantea",55.965887,-2.722454,9,1975
"393","Calvatia gigantea",55.799773,-6.389694,9,1987
"394","Calvatia gigantea",52.8186,-2.965942,11,1991
"395","Calvatia gigantea",53.353361,-0.574205,9,1982
"396","Calvatia gigantea",53.263501,-0.577195,7,1999
"398","Calvatia gigantea",56.580225,-4.036545,8,1980
"399","Calvatia gigantea",54.253627,-0.696831,9,1975
"400","Calvatia gigantea",52.724315,-0.594807,7,1997
"401","Calvatia gigantea",54.434671,-6.536748,9,2003
"402","Calvatia gigantea",53.167449,-0.131572,11,1996
"403","Calvatia gigantea",57.042785,-2.908041,9,1981
"404","Calvatia gigantea",51.4713,-1.209544,10,1996
"405","Calvatia gigantea",52.9096,-2.819267,10,1998
"406","Calvatia gigantea",52.724315,-0.594807,9,1992
"407","Calvatia gigantea",53.075175,0.013717,10,1970
"408","Calvatia gigantea",52.280379,-2.807609,9,1986
"409","Calvatia gigantea",51.362922,0.225017,11,1982
"410","Calvatia gigantea",52.642537,-1.779755,9,1974
"411","Calvatia gigantea",52.8173,-3.114298,9,1992
"412","Calvatia gigantea",53.086958,-0.881653,8,2002
"413","Calvatia gigantea",51.802956,-4.684598,9,1985
"414","Calvatia gigantea",52.8173,-3.114298,9,1997
"415","Calvatia gigantea",53.360708,-2.527372,9,1992
"416","Calvatia gigantea",53.173641,-0.58017,10,1984
"417","Calvatia gigantea",53.263501,-0.577195,9,1970
"418","Calvatia gigantea",52.639965,-1.188651,6,1996
"419","Calvatia gigantea",52.460163,-2.810896,11,1994
"421","Calvatia gigantea",52.642537,-1.779755,10,1992
"422","Calvatia gigantea",51.909518,-0.184234,9,1989
"423","Calvatia gigantea",52.192677,-1.635692,3,1987
"424","Calvatia gigantea",60.635808,-1.179236,9,1971
"425","Calvatia gigantea",52.053521,1.426206,9,1975
"426","Calvatia gigantea",53.178115,-2.974001,9,1987
"427","Calvatia gigantea",51.111663,-1.215693,10,2004
"428","Calvatia gigantea",52.462367,-2.369384,8,2002
"429","Calvatia gigantea",52.10331,-2.074413,9,1987
"430","Calvatia gigantea",52.90405,-0.588999,10,1983
"431","Calvatia gigantea",50.070308,-5.564961,9,1981
"432","Calvatia gigantea",53.629583,-2.681936,9,1980
"433","Calvatia gigantea",52.55264,-1.780205,9,1975
"434","Calvatia gigantea",53.990445,-1.620196,7,1998
"435","Calvatia gigantea",51.743498,-2.218653,11,2003
"437","Calvatia gigantea",51.554125,-0.486914,10,1999
"438","Calvatia gigantea",51.743498,-2.218653,11,1997
"439","Calvatia gigantea",54.160082,-0.393461,9,1982
"440","Calvatia gigantea",51.362922,0.225017,9,1979
"441","Calvatia gigantea",51.831808,-1.348371,8,1992
"442","Calvatia gigantea",53.077607,-0.135465,9,1999
"443","Calvatia gigantea",50.164288,-5.431901,9,1984
"444","Calvatia gigantea",51.449947,0.373176,9,2002
"445","Calvatia gigantea",51.4623,-0.345997,9,1996
"446","Calvatia gigantea",52.462367,-2.369384,10,2004
"447","Calvatia gigantea",54.524475,-6.533537,3,2003
"448","Calvatia gigantea",53.35506,-0.724399,9,1977
"449","Calvatia gigantea",51.623405,0.671186,9,1978
"450","Calvatia gigantea",57.314876,-2.416682,9,2004
"451","Calvatia gigantea",56.670006,-4.041388,9,1980
"452","Calvatia gigantea",53.989866,-1.467685,10,2000
"453","Calvatia gigantea",52.281309,-1.3418,6,1974
"454","Calvatia gigantea",52.193217,-1.928272,9,1987
"455","Calvatia gigantea",56.502562,-3.057543,9,1990
"457","Calvatia gigantea",52.158824,0.849361,9,1974
"458","Calvatia gigantea",53.089365,-2.822678,9,1984
"459","Calvatia gigantea",52.8186,-2.965942,9,1985
"460","Calvatia gigantea",50.844332,-1.788319,11,1996
"461","Calvatia gigantea",51.645783,-0.628398,5,2001
"462","Calvatia gigantea",53.721385,-1.925707,9,1995
"463","Calvatia gigantea",50.840885,-1.078214,10,1999
